actorId,pagerank,degree,weightedDegree,community
nm2067953,1.708478,18,18,65
nm2684912,0.901742,9,9,65
nm1961009,0.917756,9,9,65
nm10730437,0.876785,9,9,23
nm10732415,0.876785,9,9,23
nm2432662,0.876785,9,9,23
nm0504897,0.938523,9,9,3
nm0950757,0.938523,9,9,3
nm0099521,0.933955,9,9,36
nm0346363,0.933955,9,9,36
nm0674816,0.933955,9,9,36
nm2078025,1.0,9,9,66
nm3056324,1.0,9,9,66
nm0005535,1.0,9,9,66
nm1649939,1.0,9,9,66
nm0191747,1.0,9,9,66
nm5294636,0.885874,9,9,3
nm2330321,0.946959,9,9,4
nm2501442,0.946959,9,9,4
nm0944081,0.946959,9,9,4
nm0194271,1.0,9,9,67
nm2979684,1.0,9,9,67
nm11051909,1.0,9,9,67
nm1036050,1.0,9,9,67
nm0532067,0.910609,9,9,2
nm0878240,0.910609,9,9,2
nm2134806,1.665716,18,18,33
nm5379183,1.655502,18,18,33
nm0452224,0.94199,9,9,33
nm2968409,0.94199,9,9,33
nm5532140,0.94199,9,9,33
nm0614885,1.0,9,9,70
nm3109156,1.0,9,9,70
nm5606446,0.897709,9,9,7
nm0004365,1.703579,18,18,7
nm0010837,0.942925,9,9,7
nm0190794,1.0,9,9,73
nm0258272,1.0,9,9,73
nm0001970,1.0,9,9,73
nm4402043,0.941554,9,9,11
nm5518972,0.941554,9,9,11
nm0217936,1.0,9,9,74
nm0738391,1.0,9,9,75
nm0002010,1.0,9,9,75
nm0122834,1.0,9,9,76
nm0415185,1.0,9,9,76
nm4259483,1.0,9,9,77
nm4142788,1.0,9,9,77
nm0730070,0.931938,9,9,11
nm4886518,1.0,9,9,79
nm12139768,1.0,9,9,79
nm1896336,1.0,9,9,79
nm1936048,1.0,9,9,79
nm0608578,1.0,9,9,79
nm0001458,0.91557,9,9,3
nm2524051,1.0,9,9,80
nm8860239,1.0,9,9,80
nm1944279,0.885171,9,9,21
nm0730191,0.885171,9,9,21
nm0005234,0.93364,9,9,59
nm0295141,0.93364,9,9,59
nm2666409,0.93364,9,9,59
nm0649239,0.93364,9,9,59
nm0002517,0.93364,9,9,59
nm1147702,0.860008,9,9,11
nm4715711,0.860008,9,9,11
nm0316306,1.0,9,9,25
nm6388229,1.0,9,9,25
nm1277856,0.899767,9,9,36
nm0221677,0.899767,9,9,36
nm0275637,1.706138,18,18,36
nm0545166,0.899767,9,9,36
nm0882943,1.706138,18,18,36
nm4841640,0.899767,9,9,36
nm0003409,0.899767,9,9,36
nm0193135,0.956853,9,9,81
nm0319696,0.956853,9,9,81
nm0412917,2.16881,27,27,11
nm1122912,0.828712,9,9,11
nm3828984,0.828712,9,9,11
nm0589900,0.942925,9,9,7
nm12154493,0.832634,9,9,86
nm0289080,0.94845,9,9,48
nm2439913,0.92059,9,9,32
nm4234031,0.92059,9,9,32
nm4625025,0.92059,9,9,32
nm0062098,1.698351,18,18,12
nm1388927,0.94845,9,9,48
nm11158117,0.94845,9,9,48
nm1593574,0.92059,9,9,32
nm6714032,1.0,9,9,92
nm7938836,0.956853,9,9,93
nm1139632,1.77665,18,18,93
nm0482656,0.877895,9,9,23
nm0862882,0.877895,9,9,23
nm1546364,0.938443,9,9,23
nm2650306,0.938443,9,9,23
nm0005033,1.679283,18,18,23
nm2117181,0.909129,9,9,59
nm1164865,0.909129,9,9,59
nm9570628,1.0,9,9,88
nm2217844,0.947355,9,9,4
nm6639989,0.947355,9,9,4
nm2281637,0.947355,9,9,4
nm8359383,0.915664,9,9,4
nm3214649,0.915664,9,9,4
nm1564072,1.0,9,9,37
nm0552595,0.948678,9,9,8
nm13798094,0.948678,9,9,8
nm0676370,0.944863,9,9,24
nm1248798,0.944863,9,9,24
nm0005171,1.731984,18,18,32
nm0105013,1.0,9,9,96
nm0666966,1.0,9,9,96
nm0267651,1.0,9,9,96
nm0733051,1.0,9,9,78
nm0273946,1.0,9,9,78
nm0005253,1.0,9,9,78
nm7736740,0.923464,9,9,3
nm1855281,0.923464,9,9,3
nm3690667,1.712261,18,18,3
nm0201557,0.941253,9,9,3
nm0112932,0.933975,9,9,3
nm8131660,0.933975,9,9,3
nm7854903,0.8803,9,9,3
nm16543808,0.9418,9,9,6
nm1782153,0.9418,9,9,6
nm2301427,1.0,9,9,100
nm8467055,1.0,9,9,100
nm1189034,1.606465,18,18,11
nm3252731,0.856517,9,9,11
nm1383801,0.856517,9,9,11
nm0006764,0.856517,9,9,11
nm1239481,0.887004,9,9,11
nm6224597,0.887004,9,9,11
nm0007124,1.642462,18,18,11
nm0019382,0.88477,9,9,11
nm0442622,0.914817,9,9,12
nm6505394,0.914817,9,9,12
nm2324209,0.914817,9,9,12
nm6685291,0.912975,9,9,12
nm8554038,0.914817,9,9,12
nm0675919,1.690736,18,18,12
nm3060342,1.0,9,9,101
nm0142964,1.0,9,9,102
nm0795294,1.0,9,9,102
nm0523592,1.0,9,9,102
nm1302330,3.294274,45,45,11
nm3159930,2.037017,27,27,11
nm3755435,0.739627,9,9,11
nm0430803,2.2856,27,27,13
nm0482289,0.88477,9,9,11
nm5704026,0.894747,9,9,11
nm10171821,0.894747,9,9,11
nm1277547,0.894747,9,9,11
nm0123699,1.0,9,9,76
nm0125211,0.898679,9,9,103
nm1998273,1.740434,18,18,104
nm9477875,0.927569,9,9,104
nm0007711,0.927569,9,9,104
nm2119319,0.949921,9,9,104
nm3600447,1.0,9,9,106
nm5445304,1.0,9,9,106
nm0324645,0.913706,9,9,107
nm0084241,0.913706,9,9,107
nm0690761,0.913706,9,9,107
nm10919639,0.913706,9,9,107
nm0008090,1.690355,17,18,107
nm1032423,1.516067,17,18,664
nm1552768,0.841137,9,9,108
nm1758920,0.841137,9,9,108
