actorId,name,movieCount,genreRichness,shannonDiversity,maxPossibleH,topGenres,topGenreShares
nm0474774,Akshay Kumar,3,6,2.4194,2.585,Drama;Action;History,0.333;0.222;0.111
nm3524360,Travis Mills,3,6,2.4194,2.585,Thriller;Drama;Comedy,0.333;0.222;0.111
nm2212823,Duleeka Marapana,8,7,2.3942,2.8074,Drama;Comedy;Action,0.396;0.188;0.146
nm3931538,Sam Richardson,4,6,2.3648,2.585,Drama;Action;Adventure,0.375;0.167;0.167
nm1259084,Manoj Joshi,5,6,2.3496,2.585,Comedy;Drama;Romance,0.375;0.208;0.125
nm0005246,Esai Morales,3,5,2.3083,2.3219,Thriller;Action;Adventure,0.222;0.222;0.222
nm1041023,Navid Negahban,2,5,2.2925,2.3219,Action;Thriller;Comedy,0.250;0.250;0.167
nm1521381,Nayanthara,2,5,2.2925,2.3219,Horror;Drama;Action,0.250;0.250;0.167
nm4446467,Tye Sheridan,2,5,2.2925,2.3219,Drama;Thriller;Mystery,0.250;0.250;0.167
nm6675440,Lily-Rose Depp,2,5,2.2925,2.3219,Drama;Thriller;Sci-Fi,0.250;0.250;0.167
nm1451888,Benny Chan,2,5,2.2925,2.3219,Horror;Mystery;Action,0.250;0.250;0.167
nm9461509,Malinda Perera,2,5,2.2925,2.3219,Horror;Drama;Adventure,0.250;0.250;0.167
nm3500582,Teyonah Parris,2,5,2.2925,2.3219,Thriller;Horror;Sci-Fi,0.250;0.250;0.167
nm0004365,Fred Williamson,2,5,2.2925,2.3219,Comedy;Romance;Action,0.250;0.250;0.167
nm1779926,Kemal Basar,2,5,2.2925,2.3219,Comedy;Action;History,0.250;0.250;0.167
nm1396004,Serena Rossi,2,5,2.2925,2.3219,Drama;Thriller;Action,0.250;0.250;0.167
nm6512505,Dinakshie Priyasad,2,5,2.2925,2.3219,Comedy;Family;Action,0.250;0.250;0.167
nm0736263,Daniel Roebuck,2,5,2.2925,2.3219,Drama;Romance;Adventure,0.250;0.250;0.167
nm5584344,Yahya Abdul-Mateen II,2,5,2.2925,2.3219,Thriller;Horror;Fantasy,0.250;0.250;0.167
nm0349522,Javier Gutiérrez,2,5,2.2925,2.3219,Drama;Thriller;Adventure,0.250;0.250;0.167
nm5379183,Édgar Vittorino,2,5,2.2925,2.3219,Drama;Thriller;Action,0.250;0.250;0.167
nm3457543,Dani Thompson,2,5,2.2925,2.3219,Horror;Comedy;Drama,0.250;0.250;0.167
nm1340370,Brian Caspe,2,5,2.2925,2.3219,War;Drama;Horror,0.250;0.250;0.167
nm3640154,Mayu Matsuoka,2,5,2.2925,2.3219,Music;Drama;Adventure,0.250;0.250;0.167
nm2286188,Manu Rishi Chadha,2,5,2.2925,2.3219,Romance;Comedy;Crime,0.250;0.250;0.167
nm2299825,Ileana D'Cruz,2,5,2.2925,2.3219,Comedy;Action;Biography,0.250;0.250;0.167
nm1715118,AnnaLynne McCord,2,5,2.2925,2.3219,Drama;Western;Crime,0.250;0.250;0.167
nm3858576,Jalil Afghani,2,5,2.2925,2.3219,Drama;Family;Fantasy,0.250;0.250;0.167
nm0952085,Zulkifli Zain,2,5,2.2925,2.3219,Drama;Action;Family,0.250;0.250;0.167
nm9067892,Alexa Key,2,5,2.2925,2.3219,Action;Fantasy;Adventure,0.250;0.250;0.167
nm0000800,Armand Assante,2,5,2.2925,2.3219,Horror;Thriller;Action,0.250;0.250;0.167
nm1869082,Emrhys Cooper,2,5,2.2925,2.3219,Comedy;Drama;Horror,0.250;0.250;0.167
nm3690667,David B. Meadows,2,5,2.2925,2.3219,Horror;Comedy;Action,0.250;0.250;0.167
nm1194281,Andrea Del Rosario,2,5,2.2925,2.3219,Romance;Comedy;Mystery,0.250;0.250;0.167
nm5243426,Mary Buss,2,5,2.2925,2.3219,Horror;Mystery;Comedy,0.250;0.250;0.167
nm1453507,George Adams,2,5,2.2925,2.3219,Horror;Mystery;Comedy,0.250;0.250;0.167
nm1268200,Maria Dębska,2,5,2.2925,2.3219,Romance;Comedy;Drama,0.250;0.250;0.167
nm6913129,Nessa Noel,2,5,2.2925,2.3219,Thriller;Mystery;Drama,0.250;0.250;0.167
nm1734602,Bülent Alkis,2,5,2.2925,2.3219,Comedy;Action;Biography,0.250;0.250;0.167
nm2672980,John H. Euber,2,5,2.2925,2.3219,Crime;Thriller;Sci-Fi,0.250;0.250;0.167
nm7899531,Becky Jo Harris,2,5,2.2925,2.3219,Crime;Thriller;Sci-Fi,0.250;0.250;0.167
nm2838294,Susantha Chandramali,2,5,2.2925,2.3219,Drama;Mystery;Adventure,0.250;0.250;0.167
nm0863787,Sabine Timoteo,2,5,2.2925,2.3219,Comedy;Music;Adventure,0.250;0.250;0.167
nm3359104,Win Morisaki,2,5,2.2925,2.3219,Music;Drama;Adventure,0.250;0.250;0.167
nm2258163,Gustavo Pardi,2,5,2.2925,2.3219,Adventure;Comedy;Crime,0.250;0.250;0.167
nm3545407,Weiwei Liao,2,5,2.2925,2.3219,Comedy;Drama;Fantasy,0.250;0.250;0.167
nm2059117,Robert Kazinsky,2,5,2.2925,2.3219,Thriller;Horror;Drama,0.250;0.250;0.167
nm0202516,Ricky Davao,2,5,2.2925,2.3219,Action;Biography;Drama,0.250;0.250;0.167
nm1099597,Radha Ravi,2,5,2.2925,2.3219,Mystery;Thriller;Action,0.250;0.250;0.167
nm8491125,Ramya Wanigasekara,2,5,2.2925,2.3219,Drama;Family;Thriller,0.250;0.250;0.167
nm3264596,Kid Cudi,2,5,2.2925,2.3219,Drama;Thriller;Romance,0.250;0.250;0.167
nm7029055,Fang Yin,2,5,2.2925,2.3219,Comedy;Sport;Drama,0.250;0.250;0.167
nm3948952,Vanessa Kirby,3,6,2.281,2.585,Drama;Action;Adventure,0.444;0.111;0.111
nm2132667,M.S. Bhaskar,3,6,2.281,2.585,Drama;Crime;Mystery,0.444;0.111;0.111
nm1244898,Gary M. Iskak,3,6,2.281,2.585,Drama;Romance;Family,0.444;0.111;0.111
nm1471547,Mahnaz Afshar,3,6,2.281,2.585,Drama;Thriller;Fantasy,0.444;0.111;0.111
nm0433893,K.S. Ravikumar,3,5,2.2608,2.3219,Thriller;Crime;Action,0.278;0.222;0.222
nm4131336,Rachel Alig,3,5,2.2516,2.3219,Horror;Western;Crime,0.333;0.167;0.167
nm1522315,Baiju Santhosh,3,5,2.2516,2.3219,Drama;Comedy;Biography,0.333;0.167;0.167
nm0920460,Vernon Wells,3,5,2.2516,2.3219,Thriller;Sci-Fi;Crime,0.333;0.167;0.167
nm0490513,Ching-Wan Lau,2,5,2.2516,2.3219,Crime;Drama;Thriller,0.333;0.167;0.167
nm0924154,Shea Whigham,2,5,2.2516,2.3219,Thriller;Adventure;Action,0.333;0.167;0.167
nm5896355,Anya Taylor-Joy,2,5,2.2516,2.3219,Horror;Comedy;Drama,0.333;0.167;0.167
nm5481013,Kaito Ishikawa,2,5,2.2516,2.3219,Animation;Adventure;Action,0.333;0.167;0.167
nm6728658,Kim Sun-young,2,5,2.2516,2.3219,Comedy;Family;Romance,0.333;0.167;0.167
nm2365811,Betty Gilpin,2,5,2.2516,2.3219,Action;Adventure;Comedy,0.333;0.167;0.167
nm1335704,Fahadh Faasil,2,5,2.2516,2.3219,Drama;Romance;Mystery,0.333;0.167;0.167
nm0004979,David Alan Grier,2,5,2.2516,2.3219,Comedy;Sci-Fi;Mystery,0.333;0.167;0.167
nm3915784,John Boyega,2,5,2.2516,2.3219,Comedy;Mystery;Crime,0.333;0.167;0.167
nm0006669,William Sadler,2,5,2.2516,2.3219,Horror;Action;Drama,0.333;0.167;0.167
nm0788340,Molly Shannon,2,5,2.2516,2.3219,Comedy;Romance;Animation,0.333;0.167;0.167
nm3537172,Jacqueline Scislowski,2,5,2.2516,2.3219,Drama;Action;Adventure,0.333;0.167;0.167
nm0066827,Bahar Begum,2,5,2.2516,2.3219,Action;Biography;Romance,0.333;0.167;0.167
nm3755586,Muzaffar Adeeb,2,5,2.2516,2.3219,Action;Romance;Drama,0.333;0.167;0.167
nm3016957,Nasrullah Butt,2,5,2.2516,2.3219,Action;Romance;Drama,0.333;0.167;0.167
nm4987686,Maaya Uchida,2,5,2.2516,2.3219,Animation;Action;Adventure,0.333;0.167;0.167
nm0766233,Kôichi Satô,2,5,2.2516,2.3219,Drama;Comedy;Action,0.333;0.167;0.167
nm2668717,Ahmed Hatem,2,5,2.2516,2.3219,Drama;Romance;Thriller,0.333;0.167;0.167
nm0001314,John Hannah,2,5,2.2516,2.3219,Action;Comedy;War,0.333;0.167;0.167
nm0000574,Jason Patric,2,5,2.2516,2.3219,Crime;Thriller;Fantasy,0.333;0.167;0.167
nm0080248,Santhana Bharathi,2,5,2.2516,2.3219,Drama;Crime;Action,0.333;0.167;0.167
nm3836444,Ashan Dias,2,5,2.2516,2.3219,Drama;Sci-Fi;Romance,0.333;0.167;0.167
nm0926086,Isiah Whitlock Jr.,2,5,2.2516,2.3219,Drama;Crime;Adventure,0.333;0.167;0.167
nm3443995,Behnoosh Tabatabaei,2,5,2.2516,2.3219,Drama;History;Sport,0.333;0.167;0.167
nm0266723,Daniel Fanego,2,5,2.2516,2.3219,Drama;History;Crime,0.333;0.167;0.167
nm1096341,Gerti Drassl,2,5,2.2516,2.3219,Drama;Adventure;Comedy,0.333;0.167;0.167
nm5237479,Stacy Martin,2,5,2.2516,2.3219,Thriller;Horror;Drama,0.333;0.167;0.167
nm0797614,Ingvar Sigurdsson,2,5,2.2516,2.3219,Drama;Horror;Fantasy,0.333;0.167;0.167
nm0350273,Hilmir Snær Guðnason,2,5,2.2516,2.3219,Drama;Fantasy;Thriller,0.333;0.167;0.167
nm4122772,Nadine Lustre,2,5,2.2516,2.3219,Drama;Musical;Romance,0.333;0.167;0.167
nm0712433,Ravi Teja,2,5,2.2516,2.3219,Action;Sci-Fi;Thriller,0.333;0.167;0.167
nm1198628,Sunil,2,5,2.2516,2.3219,Action;Sci-Fi;Thriller,0.333;0.167;0.167
nm1960447,Yūya Matsuura,2,5,2.2516,2.3219,Drama;Romance;History,0.333;0.167;0.167
nm0482285,Lakshmi,2,5,2.2516,2.3219,Comedy;Action;Drama,0.333;0.167;0.167
nm3789450,Kim Hong-pa,2,5,2.2516,2.3219,Comedy;History;Drama,0.333;0.167;0.167
nm4029706,Mandy Takhar,2,5,2.2516,2.3219,Drama;Comedy;Action,0.333;0.167;0.167
nm10191760,Mira Filzah,2,5,2.2516,2.3219,Drama;Sport;Crime,0.333;0.167;0.167
nm2879092,Remy Ishak,2,5,2.2516,2.3219,Drama;Sport;Crime,0.333;0.167;0.167
nm3861581,Haruka Fukuhara,2,5,2.2516,2.3219,Drama;Mystery;Animation,0.333;0.167;0.167
nm3008388,Michael Fredianelli,2,5,2.2516,2.3219,Thriller;Crime;Mystery,0.333;0.167;0.167
nm0453440,Kim Eui-sung,2,5,2.2516,2.3219,Comedy;Crime;Family,0.333;0.167;0.167
nm3370295,Shenyang Xiao,2,5,2.2516,2.3219,Adventure;Action;War,0.333;0.167;0.167
nm0534856,Madhavan,2,5,2.2516,2.3219,Mystery;Adventure;Horror,0.333;0.167;0.167
nm5649428,Jeanne Young,2,5,2.2516,2.3219,Thriller;Sci-Fi;Mystery,0.333;0.167;0.167
