actorId,name,x,y,community,degree
nm0297869,Kamatari Fujiwara,-0.0023,0.011,449,35
nm5454914,Arjuna Kamalanath,-0.0062,0.0044,1131,35
nm1475385,Chieko Sôma,0.0009,-0.0097,527,35
nm0244428,Oktar Durukan,-0.0033,-0.0091,402,35
nm5034016,Lino Musella,0.1055,-0.0018,1302,35
nm0411770,Yūnosuke Itō,-0.0056,0.0067,525,35
nm0441173,Akihiko Katayama,0.0005,0.0106,554,35
nm0645207,Ryūtarō Ōtomo,0.0055,0.0265,132,35
nm1298052,Raghu Babu,-0.0086,-0.0004,161,35
nm0619107,Masayoshi Nogami,0.0057,-0.0016,632,34
nm13445593,Hamad Almutaani,0.0019,-0.0169,1324,34
nm2932493,Pubudu Chathuranga,0.0003,-0.0073,1380,34
nm0441102,Tsuneo Katagiri,0.004,-0.002,553,34
nm0051502,Junzaburō Ban,-0.0001,-0.0241,216,34
nm1669854,Rex Kodippili,-0.0081,0.0095,1061,34
nm2362746,Kiyoko Izumi,0.0028,-0.0062,1354,34
nm3154399,Jaffer Idukki,0.0063,0.0035,547,34
nm0594062,Kōji Mitsui,-0.0066,0.007,525,34
nm3909445,Devaraj,-0.0061,0.0033,669,34
nm8894367,Sarath Chandrasiri,-0.0031,-0.0018,1380,34
nm0793731,Shirô Shimomoto,0.0059,-0.0024,695,34
nm1417182,Cut Mini Theo,0.0055,-0.0055,1336,34
nm0881540,Kumeko Urabe,0.007,0.0116,129,33
nm1345839,Shinobu Chihara,0.006,0.0042,132,33
nm0284717,Malini Fonseka,-0.0012,-0.0049,113,33
nm5921321,Hemal Ranasinghe,0.0009,-0.0081,1363,33
nm1241578,Yôta Kawase,-0.0126,-0.0058,1262,33
nm4599394,Riko Matsui,-0.013,-0.0066,1003,33
nm2395335,Ryūsui Iwami,-0.0009,-0.0026,217,33
nm5635254,Harby Sangha,-0.0013,0.0011,1389,33
nm5470227,Chanchala Warnasooriya,-0.0057,0.0033,1404,32
nm1836657,Gurpreet Ghuggi,-0.0013,0.0011,1288,32
nm2361483,Seitarô Hayashi,0.0042,0.0002,321,32
nm9438310,Priyantha Seneviratne,-0.0029,-0.0021,1408,31
nm0593043,Tokiko Mita,-0.0084,-0.0029,177,31
nm0875460,Hachirô Tsuruoka,0.0056,-0.002,711,31
nm2609895,Masatarō Nakamura,-0.0011,-0.0033,217,31
nm8894370,Jeevan Handunnetti,-0.0074,0.0074,1404,31
nm0394661,Yûji Hori,0.008,-0.0191,450,30
nm0441526,Shintarō Katsu,-0.0103,-0.0049,177,30
nm0033136,Kanjūrō Arashi,0.0063,0.0234,178,30
nm5729867,Kichimatsu Nakamura,-0.002,-0.0023,217,30
nm2385880,Fujiko Tachibana,-0.0001,-0.0051,217,30
nm2383070,Mitsuo Namino,-0.0009,-0.0037,217,30
nm2843482,Chris Sharma,0.036,0.0014,1381,30
nm4950057,Ellie Bindman,0.0042,-0.0047,838,30
nm6225250,Jason Kehl,0.036,0.0013,1381,30
nm7028312,Fukujuro Ichikawa,0.0043,0.0011,178,29
nm1835962,Sanae Shiba,0.0064,-0.0027,548,29
nm1698868,Enshô Jitsukawa,0.0008,-0.0058,1347,29
nm1794199,Rokurô Akashi,0.0025,-0.0069,1354,28
nm1662057,Kensaku Haruji,-0.0012,-0.0033,217,28
nm1883210,Nao Tôyama,-0.0038,-0.0189,110,27
nm2326379,Jonathan Stoddard,0.0075,0.0158,59,27
nm0367928,Kazuo Hasegawa,-0.0071,0.0066,110,27
nm1066974,Yû Aoi,0.0026,0.0061,110,27
nm4082296,Dongyu Zhou,0.0024,-0.0049,23,27
nm5465033,Saranga Disasekara,-0.0028,-0.0022,113,27
nm1482259,Kuranosuke Sasaki,-0.0031,0.0005,110,27
nm0359275,Kikuko Hanaoka,0.0075,0.0067,110,27
nm5594794,Semini Iddamalgoda,-0.0015,-0.0045,113,27
nm0434263,Kishore Kadam,0.007,-0.0174,11,27
nm0221218,Makrand Deshpande,0.0051,-0.0179,11,27
nm0882577,Ken Utsui,-0.0152,0.0256,110,27
nm2665929,Taiga Nakano,0.0038,0.013,110,27
nm0875366,Yumeji Tsukioka,0.0081,0.0124,110,27
nm1256745,Jagath Chamila,-0.0023,-0.0031,113,27
nm0328954,Omar Gooding,-0.0006,0.0164,3,27
nm2690647,Pankaj Tripathi,-0.0167,0.0117,11,27
nm7934016,Jayraj Nair,0.005,-0.0173,11,27
nm5106325,Alireza Mehran,-0.0067,-0.0012,111,27
nm5181684,Kotonosuke Nakamura,-0.001,-0.0028,217,27
nm0592799,Sanjay Mishra,-0.0065,-0.0084,21,27
nm0590985,Yûichi Minato,0.0071,-0.0033,110,27
nm5207111,Kate Alejandrino,0.005,0.0039,56,27
nm3557375,Shine Tom Chacko,0.0061,-0.0022,11,27
nm8054476,Lun Ai,0.0024,-0.0049,23,27
nm1955570,Saiju Kurup,0.001,-0.0118,11,27
nm0579756,Biju Menon,-0.0008,-0.0135,11,27
nm4710099,Sudev Nair,0.0029,-0.0026,11,27
nm0474609,Atul Kulkarni,0.0118,0.0082,11,27
nm4068733,Mel Heflin,0.0028,0.0136,411,27
nm2983464,Chetan Dalvi,0.0044,-0.0182,19,27
nm0605449,Shin Morikawa,-0.0047,0.0002,110,27
nm0906699,Masao Wakahara,0.0091,0.0146,110,27
nm7030182,Ananda Wickramage,-0.0054,0.0027,113,27
nm1092370,Yadolla Shirandami,0.0388,-0.0066,111,27
nm1560543,Jana Oľhová,-0.0069,-0.0039,33,27
nm9716187,Sammy Jonas Heaney,-0.016,-0.0073,11,27
nm0920460,Vernon Wells,0.0054,0.0151,59,27
nm6705983,Rittika Sen,-0.0048,0.0066,310,27
nm2469558,Bijukuttan,-0.0058,0.0056,11,27
nm6419392,Priyadarshi Pulikonda,-0.0043,0.0144,11,27
nm1818216,Payman Maadi,-0.01,-0.0006,111,27
nm5018360,Swasika Vijay,0.0021,-0.0053,11,27
nm0709389,Douglas Ranasinghe,-0.0039,-0.0003,113,27
nm0741378,Felissa Rose,-0.0014,0.0119,7,27
nm6269780,Aparshakti Khurana,0.0045,0.0008,11,27
nm8358490,Ariyasena Gamage,-0.0071,0.0066,113,27
nm0632761,Masahiko Nishimura,0.0045,0.0141,110,27
nm8743969,Sunil Godabole,0.0017,-0.0138,11,27
nm3933278,Scott Friend,0.002,0.0308,39,27
nm10350514,Dhimas Danang,0.0055,-0.0055,114,27
nm9113372,Suyog Gorhe,0.0053,-0.0187,13,27
nm2751064,Kôzaburô Kataoka,0.0036,-0.0025,1347,27
nm9488941,Irsyadillah,0.0055,-0.0055,114,27
nm1028434,Reza Beyk Imanverdi,0.0388,-0.0066,111,27
nm2716106,Pouria Poursorkh,-0.0086,-0.0009,111,27
nm3524360,Travis Mills,0.0048,0.0154,43,27
nm8166767,Manikandan R. Achari,0.0014,-0.009,11,27
nm2851426,Purabi Sharma,0.0202,0.0057,365,27
nm4843024,Laura Stetman,-0.0118,-0.0151,503,27
nm1244898,Gary M. Iskak,0.0055,-0.0055,114,27
nm1000331,Rima Aono,0.0063,-0.0029,110,27
nm3491019,Rumi Sasaki,0.0059,-0.0022,110,27
nm2138126,Aram,0.0387,-0.0066,111,27
nm2132667,M.S. Bhaskar,-0.0195,-0.0088,3,27
nm5637317,Raashi Khanna,-0.0165,-0.0032,11,27
nm1644112,Michael Cyril Creighton,0.0019,0.0314,39,27
nm2040571,Mehmet Özgür,-0.0059,-0.005,240,27
nm3592766,Anjali,-0.0158,-0.0173,3,27
nm3149791,Gabriel Afolayan,0.0016,-0.0282,1054,27
nm5561908,Suchendra Prasad,-0.0131,0.0063,11,27
nm5862455,Nana Komatsu,0.0045,0.0117,110,27
nm2343617,Mehrdad Sedighian,-0.0033,-0.0017,111,27
nm3260126,Kung-Wei Lu,0.0024,-0.0049,23,27
nm1097739,Kiyohiko Shibukawa,-0.0119,-0.0035,110,27
nm3948952,Vanessa Kirby,0.0005,0.0007,6,27
nm2544899,Shabnam Moghadami,-0.0091,-0.0008,111,27
nm1125711,Pavel Derevyanko,0.0414,-0.0155,596,27
nm4470570,Ramchandra Dhumal,0.0051,-0.0189,11,27
nm8894384,Sarath Kulanga,-0.007,0.0063,113,27
nm4131336,Rachel Alig,0.0043,0.0145,59,27
nm4043111,Vijay Sethupathi,-0.0059,-0.0093,3,27
nm0103976,Brahmaji,0.0086,0.006,11,27
nm0080180,Bhagyaraj,0.0105,0.0337,11,27
nm0071044,Sinan Bengier,-0.006,-0.005,240,27
nm0474774,Akshay Kumar,-0.001,0.0234,11,27
nm7121595,Jun'ya Enoki,-0.0038,-0.015,110,27
nm0590931,Sumiko Minami,0.006,0.0089,110,27
nm0047962,Chieko Baishō,0.0056,0.002,110,27
nm5227404,Saeed Aghakhani,-0.0079,-0.001,111,27
nm1296300,Kangyō Nakamura,0.0022,-0.0082,1323,27
nm6767239,Adesua Etomi-Wellington,0.0016,-0.0283,1054,27
nm1081573,Philippe Katerine,0.0044,0.0172,36,27
nm0430817,Sharman Joshi,-0.0167,0.0145,11,27
nm7944314,Aniket Kelkar,-0.0,-0.0017,11,27
nm0312656,Tesshô Genda,-0.0038,-0.0196,110,27
nm0324845,Vikram Gokhale,0.0028,-0.0175,19,27
nm0620636,Govind Namdeo,-0.0161,0.0126,11,27
nm0793943,Shinji Kasahara,-0.0056,0.0056,110,27
nm0592756,Masao Mishima,-0.0092,0.0248,110,27
nm3272130,Ashwini Ekbote,0.0028,-0.0177,13,27
nm0430803,Mohan Joshi,-0.0066,-0.0112,13,27
nm3271373,Tôri Matsuzaka,-0.0016,-0.0025,110,27
nm3679148,Greg Lutz,0.0023,0.0174,43,27
nm3159930,Shivaji Guruvayoor,0.0029,0.0152,11,27
nm0412917,Jaaved Jaaferi,0.0086,0.0144,11,27
nm0594348,Seiji Miyaguchi,0.0021,-0.0071,110,27
nm2386632,Kikuya Okada,-0.0015,-0.003,217,27
nm1758612,Farhad Aslani,-0.0101,-0.0006,111,27
nm0348014,Nadika Gunasekera,-0.0054,0.0027,113,27
nm0034877,Jonathan Aris,0.016,0.0015,6,27
nm0645011,Minoru Ôki,0.0059,0.0477,110,27
nm0024032,Sriyani Amarasena,-0.0047,0.0012,113,27
nm0837475,Kyôji Sugi,0.0083,0.0076,110,27
nm0764871,Sarath Babu,0.0037,0.0296,11,27
nm1330276,Randy Couture,-0.0068,-0.021,3,27
nm0568385,Michael McElhatton,0.0159,0.0007,6,27
nm1992631,David Verdaguer,-0.0101,-0.0005,33,27
nm0780116,Don Scribner,0.0077,0.009,11,27
nm2204070,Lu Huang,0.0024,-0.0049,23,27
nm0582257,Johnny Messner,-0.0113,-0.0305,3,27
nm0751638,James Russo,-0.0017,-0.0096,3,27
nm2018573,Sean Cronin,-0.0064,-0.0345,3,27
nm0000430,Steve Guttenberg,-0.0071,-0.0343,3,27
nm0645502,Fumiko Okamura,0.0037,0.0121,449,26
nm3559559,Rao Ramesh,-0.0066,0.0046,1387,26
nm2754475,Rudranil Ghosh,-0.0048,0.0066,1376,26
nm9574516,Tanya Hope,-0.0066,0.0059,669,26
nm3762697,Japji Khaira,-0.0013,0.0011,1288,26
nm7590368,Keerthi Ranjith Peiris,-0.0077,0.0083,1061,26
nm1048051,Kô Matsuura,0.0062,-0.0028,548,26
nm1001625,Renji Panicker,0.0008,-0.0044,524,26
nm8612305,Rashmika Mandanna,-0.002,0.0072,1406,26
nm1027309,Vincent M. Ward,-0.0135,-0.0164,882,26
nm7030186,Don Guy,-0.0071,0.0065,1316,26
nm0287544,Renan Fosforoglu,-0.0033,-0.0091,440,26
nm9503309,Sarath Silva,-0.0064,0.0049,474,26
nm1220531,Krzysztof Czeczot,-0.0026,-0.004,329,26
nm0457575,Yukiya Kitamura,0.0044,0.0116,561,26
nm2977461,Saori Hayami,-0.0034,-0.0155,1383,26
nm9499890,Wasantha Kumarasiri,-0.0037,-0.0007,113,26
nm9605278,Chandika Nanayakkara,-0.0017,-0.0041,113,26
nm1127958,Yograj Singh,-0.0013,0.0011,1288,26
nm4951437,Sayed Hatem,-0.0347,0.0115,1266,26
nm3056725,Paran Banerjee,-0.0045,0.0066,1360,26
nm2718017,Kailash,0.0058,-0.004,144,26
nm7104443,Mohsen Kiayee,-0.0053,-0.0014,1409,26
nm5724719,Achyuth Kumar,-0.008,0.0036,665,26
nm8358493,Mark Samson,-0.0065,0.0051,1378,26
nm0462013,Keiju Kobayashi,-0.0066,0.0087,133,26
nm0710161,Sudharani,-0.0075,0.0021,669,26
nm1177397,Junko Natsu,-0.0003,-0.0528,627,26
nm5744564,Dhananjaya,-0.0031,0.0057,1406,26
nm2419625,Saburō Kojima,-0.0011,-0.0029,217,26
nm5664413,Elsa Diandra,0.0055,-0.0055,1384,26
nm3837828,Parkash Gadhu,-0.0013,0.0011,1389,26
nm2546411,Manoochehr Vossoogh,0.0388,-0.0066,699,26
nm1471547,Mahnaz Afshar,-0.0098,-0.0007,1340,26
nm3029960,Egy Fedly,0.0055,-0.0055,1384,26
nm0385443,Shin'ichi Himori,0.0058,-0.0216,504,26
nm5439813,Sarodj Bertin,-0.0139,-0.0169,882,26
nm0441571,Kōichi Katsuragi,-0.0086,0.0043,177,26
nm1974708,Olivia Sui,0.0099,0.0144,1357,26
nm0612217,Otávio Müller,0.0015,-0.0126,628,26
nm8894369,Chathura Perera,-0.0081,0.0096,474,26
nm0757299,Mutsuko Sakura,0.0022,-0.0325,504,26
nm0620172,Zekō Nakamura,-0.0056,0.0047,634,26
nm9447652,Nandana Hettiarachchi,-0.008,0.0092,1131,26
nm9409104,Manel Chandralatha,-0.0078,0.0086,1413,26
nm0875370,Ryūnosuke Tsukigata,0.0016,-0.0012,490,26
nm5325732,Chathurika Peiris,-0.0062,0.0044,113,26
nm1522315,Baiju Santhosh,-0.0013,-0.0068,524,26
nm1800303,Jun Kosugi,0.0067,-0.0031,548,26
nm0945836,Eijirô Yanagi,-0.001,-0.0133,490,26
nm0433893,K.S. Ravikumar,-0.0184,-0.007,545,26
nm0312647,Yildirim Gencer,-0.0033,-0.0091,457,26
nm5233402,Akira Sakamoto,0.0071,-0.0034,548,26
nm0256873,Tatsuo Endô,-0.0023,0.0525,419,26
nm0161607,Andrzej Chyra,-0.0024,-0.0059,329,26
nm2630079,Kiyoshi Kagawa,0.0035,-0.0021,553,26
nm0865799,Shin Tokudaiji,0.0088,0.0079,128,26
nm0850809,Erol Tas,-0.0033,-0.0091,402,26
nm0157374,Kyôko Chigusa,0.0041,-0.0014,321,26
