actorId,triangles,clusteringCoefficient,kshell,closeness,betweenness
nm0001803,72,0.470588,3,0.107877,0.000387
nm0001816,36,1.0,9,0.0,
nm0001826,36,1.0,6,0.0,
nm0001828,36,1.0,7,0.087989,
nm0001841,36,1.0,9,0.0,
nm0001848,36,1.0,9,0.0,
nm0001860,36,1.0,8,0.0,
nm0001882,36,1.0,8,0.059211,
nm0001929,36,1.0,9,0.0,
nm0001970,36,1.0,9,0.0,
nm0001971,36,1.0,9,0.080873,
nm0001983,36,1.0,8,0.0,
nm0001990,36,1.0,8,0.0,
nm0001995,36,1.0,6,0.058605,
nm0002003,36,1.0,9,0.0,
nm0002004,36,1.0,9,0.057117,
nm0002010,36,1.0,9,0.0,
nm0002019,36,1.0,9,0.0,
nm0002027,36,1.0,9,0.0,
nm0002062,36,1.0,9,0.077111,
nm0002090,36,1.0,9,0.0,
nm0002096,36,1.0,9,0.0,
nm0002111,36,1.0,5,0.058605,
nm0002246,36,1.0,9,0.0,
nm0002326,36,1.0,8,0.098746,
nm0002332,36,1.0,8,0.0,
nm0002350,36,1.0,9,0.073001,
nm0002517,36,1.0,9,0.0,
nm0002546,36,1.0,9,0.0,
nm0003030,36,1.0,9,0.06833,
nm0003115,36,1.0,9,0.091172,
nm0003116,36,1.0,8,0.0,
nm0003328,36,1.0,9,0.0,
nm0003409,36,1.0,9,0.0,
nm0003482,36,1.0,9,0.0,
nm0003578,36,1.0,9,0.0,
nm0003632,36,1.0,9,0.0,
nm0004030,36,1.0,9,0.0,
nm0004051,36,1.0,8,0.0,
nm0004109,36,1.0,9,0.122807,
nm0004266,36,1.0,9,0.0,
nm0004365,72,0.470588,9,0.0,0.0
nm0004380,36,1.0,8,0.0,
nm0004429,36,1.0,9,0.0,
nm0004469,36,1.0,9,0.110915,
nm0004539,36,1.0,9,0.086066,
nm0004569,36,1.0,9,0.125498,
nm0004645,36,1.0,9,0.0,
nm0004729,36,1.0,9,0.087866,
nm0004730,36,1.0,9,0.0,
nm0004739,36,1.0,9,0.0,
nm0004743,36,1.0,6,0.087989,
nm0004800,36,1.0,9,0.070234,
nm0004801,36,1.0,7,0.059211,
nm0004867,36,1.0,9,0.0,
nm0004898,36,1.0,9,0.055166,
nm0004904,36,1.0,9,0.113106,
nm0004906,36,1.0,8,0.0,
nm0004920,36,1.0,8,0.070234,
nm0004936,36,1.0,9,0.0,
